asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
200,0.0,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,0.0,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,0.0,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,0.0,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,0.0,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,0.0,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,0.0,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,0.0,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,0.0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,0.0,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,0.0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,0.0,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,0.0,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,0.0,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,0.0,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,0.0,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,0.0,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,0.0,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,0.0,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,0.0,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,0.0,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,0.0,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,0.0,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,0.253543876859,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,0.0,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,0.0,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,0.0,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,0.0,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,0.0,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,0.0,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,0.0,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,0.0,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,0.0,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,0.0,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,0.0922739638558,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,0.0,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,0.0,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,0.0,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,0.0,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,0.0,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,0.0,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
241,0.70339177936,ADM3,241,241,BOL,BOL-ADM3-33444609B92881157,Villa Vaca Guzmán,ADM3
242,0.0,ADM3,242,242,BOL,BOL-ADM3-33444609B42689736,Batallas,ADM3
