asdf_id,globalwindatlas_windspeed.none.mean,globalwindatlas_windspeed.none.max,globalwindatlas_windspeed.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
194,3.52685193427,8.96569728851,0.58723282814,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,4.36008061033,10.8857288361,1.37496221066,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,4.34483711043,8.13507270813,2.93648576736,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,3.71051347188,8.62623786926,1.01529562473,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,3.89266469727,8.09903049469,1.88028621674,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,3.8489630321,9.16160392761,1.39328575134,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,4.00667677171,9.5445356369,0.934918045998,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,3.44932314464,8.03602695465,0.959545910358,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,3.55834857916,7.56630182266,1.04333221912,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,4.06435831697,7.97265577316,1.72353208065,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,4.62840090212,9.90709495544,0.825781226158,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,3.95958285435,9.23648834229,1.14466953278,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,4.00677980415,9.23648834229,1.76253843307,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
