asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
170,15.9757498027,46.7802772522,0.117805354297,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,19.7000624885,33.5043983459,1.8772213459,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,20.290886112,39.420211792,0.49158847332,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,3.59405056748,26.0993347168,0.0437518656254,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,13.3955906109,37.4949760437,0.127557322383,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,12.5283335305,33.2711219788,0.263419300318,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,15.6696246145,64.1194992065,0.291858881712,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,18.1733482141,41.0268249512,0.256049573421,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,14.9506151438,41.5772972107,0.223090529442,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,16.8679757027,35.8872032166,0.249422475696,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,14.960555104,64.1194992065,0.0875036790967,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,9.98741984364,37.0161361694,0.0437518656254,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,12.5129896896,36.6013298035,0.0218759346753,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,16.4467121545,44.797039032,0.0656277835369,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,7.82219607142,28.9732284546,0.0691777542233,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,7.50124763661,20.3415813446,0.0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,11.8139811814,35.1767921448,0.13835529983,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,6.83686299244,20.2863178253,0.232543110847,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,5.17857211847,21.4397182465,0.0489160679281,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,10.5485885743,41.2920341492,0.0928116589785,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,11.6914776817,40.4263000488,0.293493926525,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,6.70334549745,27.3794136047,0.0437518656254,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,19.9289940606,43.24061203,0.459905356169,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,6.32024321868,29.1257038116,0.0437518656254,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,8.55498621275,38.7779884338,0.0489160679281,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,7.57940631055,31.6734218597,0.078874759376,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,6.79624656397,20.0298538208,0.0,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,5.57640004181,27.3649101257,0.0,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,7.13400345045,28.1210861206,0.13125538826,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,8.17662493092,28.9119434357,0.13835529983,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,12.3938724007,33.8564414978,0.159258812666,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,8.96432979396,30.3349723816,0.109379552305,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,8.35249597169,37.4929580688,0.216559693217,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,7.50700153509,24.123380661,0.030937243253,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,10.4809854289,36.7698860168,0.170856013894,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,8.54104322643,26.8052864075,0.0437518656254,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,8.2829076246,31.5651760101,0.0901967212558,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,14.8324318699,42.0321769714,0.325205683708,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,13.9996011557,46.4675979614,0.0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,8.00486156806,30.7621002197,0.0218759346753,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,9.47081218583,38.7085113525,0.0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
