asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
169,0.0,0.0,0.0,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,0.0,0.0,0.0,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,54569.9303586,60198.2025184,45703.3021083,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,36451.248903,46203.856747,27819.4262592,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,51871.9026568,66903.520444,36536.2099035,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,265585.351816,299143.857909,225728.154791,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,28428.2451965,39562.5840861,16671.8090926,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,5240.82373799,25126.6315021,0.0,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,58225.5988306,82347.0192793,36716.2466,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,466.621247061,14446.1364666,0.0,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,57469.1801444,78473.204118,34722.1699442,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,19980.907387,58702.6756043,0.0,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,1826.84017314,17164.3040852,0.0,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,40984.8878756,58170.2840194,17387.352605,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
