,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
219,0.005635777,0.02110674,0.008463601,0.002113252,0.000217283,0.000187412,0.0,0.000640435,219
220,0.000256049,0.001056657,0.000128871,7.07e-06,5.84e-07,4.81e-07,0.0,1.6e-06,220
221,0.000643781,0.002431122,0.000406952,0.00033817,2.04e-06,1.73e-06,7.33e-07,4.07e-05,221
222,0.003796714,0.015909646,0.006563766,0.001792916,0.000185908,0.000152382,0.0,0.000536934,222
223,0.000854108,0.003495405,0.00103701,0.000189327,1.86e-05,1.55e-05,0.0,5.14e-05,223
224,0.000854108,0.003251266,0.00051253,7.72e-05,3.53e-06,3.01e-06,0.0,9.15e-06,224
225,0.002241497,0.007031154,0.001338956,0.000301439,1.45e-05,1.05e-05,0.0,3.83e-05,225
226,0.050132539,0.145001173,0.146915078,0.146458626,0.028474869,0.025947602,0.002526806,0.078050338,226
227,0.013775609,0.047443356,0.026588198,0.01169914,0.001435857,0.001258946,0.0,0.004235879,227
228,0.01332956,0.032388452,0.009867576,0.00174981,0.000661401,0.000934552,0.000712032,0.000738679,228
229,0.032960031,0.095395505,0.066082582,0.039818265,0.005970374,0.007419747,0.006403318,0.016927196,229
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232
233,0.000200744,0.000908746,9.67e-05,4.96e-06,4.05e-07,3.33e-07,7.66e-09,1.12e-06,233
234,0.000340615,0.001554526,0.000376931,5.5e-05,5.4e-06,4.53e-06,4.99e-09,1.44e-05,234
235,0.00012734,0.000504745,0.0,0.0,0.0,0.0,0.0,0.0,235
236,6.48e-05,0.000267299,0.0,0.0,0.0,0.0,0.0,0.0,236
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239
